k,n_patients,n_pos,AUPRC,AUROC
117,1117,58,0.18413721317080467,0.7296164240825763
118,1099,57,0.2022360117188059,0.7377428696501329
119,1093,57,0.19307572911710175,0.7511007247849353
120,1078,56,0.23694260447278703,0.7453085686329326
121,1070,56,0.1991644374846857,0.7384562552831784
122,1065,56,0.18081438601325933,0.7388061022228515
123,1056,54,0.13701949723525675,0.7382457307607008
124,1051,53,0.1317481215591765,0.7313683971717019
125,1044,51,0.13429967258704933,0.7218569200086884
126,1038,51,0.14801423713043302,0.7267516935852356
127,1028,50,0.1156494343873502,0.7067382413087935
128,1022,48,0.12045289954283134,0.7185574948665296
129,1020,48,0.1254992974195667,0.7134987997256516
130,1016,48,0.11173957098219855,0.7098075929752067
131,1008,48,0.13567573595656426,0.7026041666666667
132,1002,48,0.12487399311466946,0.7000349406009783
133,994,48,0.12861694185547307,0.7087187279774488
134,984,47,0.13039240992823356,0.711244578668907
135,978,46,0.11772882919189606,0.7021016047770107
136,971,45,0.13675913954121618,0.7074034077273819
137,956,44,0.12162913580899995,0.7043336323763955
138,949,43,0.1534235211199491,0.7212125879151907
139,938,42,0.14404858683461538,0.7378029336734694
140,924,42,0.14119316109350913,0.7380007558578987
141,917,42,0.1487549648378049,0.7434285714285713
142,916,42,0.16992627417133116,0.7578865642366786
143,907,42,0.16760143245779052,0.74822460776218
144,898,42,0.18202454214284502,0.7626140409434803
145,888,42,0.15816550068814772,0.7594562647754137
146,884,42,0.16251493343897938,0.7601374278927723
147,877,40,0.19431186394590114,0.7707437275985664
148,872,40,0.15700325236502932,0.7686899038461539
149,868,40,0.19223657518173576,0.7890851449275362
150,861,40,0.15000032750045106,0.7865864799025578
151,860,40,0.14847274093154997,0.7798323170731707
152,858,40,0.17475610438030806,0.7935666259168704
153,855,40,0.16254665101180904,0.7973312883435582
154,850,40,0.17601510938797033,0.7974228395061729
155,843,40,0.18987616913030614,0.7888387297633874
156,836,40,0.16722493866909716,0.7935772613065326
157,830,40,0.19935643198611802,0.7933227848101266
158,825,40,0.16239378598440404,0.7976592356687897
159,819,39,0.1678958452644739,0.7926857330703485
160,811,38,0.18594541337955714,0.7923503778852046
161,805,38,0.16589280584872404,0.7849962258972072
162,797,38,0.1510534812904153,0.7803030303030303
163,792,38,0.1708527769104965,0.7796139885522826
164,789,38,0.16026345496614172,0.7660662975681549
165,776,38,0.16748728968413884,0.7792397660818714
166,772,38,0.15210789121010831,0.7705435250250968
167,769,38,0.16515571212512367,0.7589639282885736
168,766,38,0.17691793143345041,0.7688512145748987
169,760,38,0.17884242253250734,0.7563602565971717
170,757,38,0.19885604043215652,0.7725825342215066
171,751,38,0.2232087882430694,0.7773861371521369
172,746,38,0.20282777492270646,0.7835080285459411
173,743,36,0.16732313251030115,0.7680732358950181
174,742,36,0.21731916345647478,0.7634757632987095
175,740,36,0.20057279862194538,0.7547348484848486
176,737,35,0.18393313140184997,0.7451566951566951
177,734,35,0.14013840986544163,0.7482321684038422
178,729,35,0.171356068420196,0.7414162206669411
179,726,35,0.22781441756358586,0.7485838329543105
180,721,35,0.18255894559462368,0.7394627238650563
181,721,35,0.20558564352892317,0.7481049562682216
182,715,35,0.18237202585915008,0.7432563025210084
183,710,35,0.18267351066679147,0.7209735449735449
184,703,33,0.179823174101128,0.7132745364088648
185,694,33,0.1388672205865146,0.7046027598221245
186,682,32,0.14639982837067714,0.7186057692307692
187,675,32,0.11106105469586164,0.7054821150855365
188,669,32,0.12493022161071637,0.7096987833594977
189,663,31,0.140653180004749,0.7217741935483871
190,659,31,0.13946922263237496,0.7123484692829258
191,657,31,0.14273838112122933,0.71926208389158
192,652,31,0.14414493893700525,0.7370266479663394
193,640,30,0.12491159092281906,0.7203551912568306
194,639,30,0.1268698886985543,0.7334975369458129
195,637,30,0.13597307618667545,0.7221581548599671
196,632,30,0.11210717371694646,0.7222868217054264
197,627,30,0.13136590851107327,0.7280569514237857
198,625,29,0.13276139018423697,0.709297616292525
199,623,28,0.14761394567269528,0.6998199279711885
200,620,28,0.1463197526164567,0.7249939671814671
201,615,28,0.12613438820776696,0.7075930883426624
202,613,28,0.10050002724085533,0.699969474969475
203,610,27,0.10256603122108043,0.7089130296677466
204,605,25,0.10978730928989999,0.7167586206896552
205,603,24,0.09709232505240524,0.7031879677605066
206,600,24,0.11504774163166397,0.7161096643518519
207,594,24,0.10836000764449194,0.7077119883040935
208,588,24,0.11043650912054295,0.6962913711583925
209,587,24,0.11514583069210121,0.6884251036116045
210,580,24,0.1368250809348581,0.7004646282973621
211,574,24,0.15183580754072717,0.7153409090909091
212,569,24,0.14425944870892585,0.6818042813455658
213,567,24,0.10057983511247104,0.6747621240024555
214,560,24,0.09247521673914572,0.6788712686567164
215,556,24,0.10352843323632084,0.6969376566416039
216,552,24,0.1064836230563958,0.6910905934343434
217,548,24,0.11096481247651113,0.7143368320610687
218,542,24,0.13121669750047754,0.7184684684684686
219,541,24,0.11209419726364397,0.6950354609929077
220,538,24,0.133149391681127,0.7023346303501945
221,536,24,0.13565080219492326,0.7072347005208334
222,533,24,0.15688915482559335,0.7073100851342501
223,529,24,0.12491398292114088,0.7059818481848185
224,527,24,0.1278336092032444,0.6945410868124586
225,527,24,0.1245278279580148,0.6988485752153744
226,526,24,0.11832285447208876,0.6923140770252324
227,521,24,0.1210005413464007,0.6796193829644535
228,519,23,0.1124479576156284,0.6765427769985976
229,519,23,0.1311095457743616,0.6723352033660589
230,518,23,0.13153986641574184,0.6794027228809838
231,513,23,0.1144338750759471,0.6676131322094055
232,509,23,0.12323021105514288,0.6882268742172124
233,502,23,0.12813690856754983,0.6892983570845057
234,491,23,0.12003204497860614,0.6871980676328502
235,488,23,0.12060028696630268,0.6558672276764843
236,481,23,0.1336754308945324,0.6833586481868237
237,474,22,0.1421971143812809,0.7068081255028158
238,474,22,0.18594425584378316,0.7164621882542237
239,471,22,0.142206237990586,0.6995343186879934
240,463,22,0.15360356032695063,0.7057307771593486
241,461,22,0.1630942318558809,0.7139676951749845
242,459,22,0.14593909354860035,0.7168192219679633
243,457,22,0.11844833679328728,0.6942528735632184
244,453,22,0.18784122576505535,0.7081839274414681
245,453,22,0.13893448032350775,0.7163045770934402
246,452,22,0.17865701453683197,0.7029598308668076
247,448,22,0.1437914341849107,0.7171361502347419
248,447,22,0.1464106961420282,0.7040106951871657
249,446,22,0.18264496042865044,0.6966123499142367
250,442,22,0.12009721500877907,0.7008116883116882
251,438,21,0.13601987377616864,0.6703779833276237
252,436,21,0.10892797368113354,0.6641996557659209
253,434,21,0.09493012968682038,0.6779084515161997
254,433,21,0.10764680499640603,0.6820388349514563
255,426,21,0.11734799018828669,0.6948265726043503
256,424,21,0.10707073098215852,0.6925440151246602
257,421,21,0.09965387950851631,0.6929761904761904
258,414,21,0.11356980460674129,0.6960499212407609
259,412,21,0.10022549146864188,0.6879795396419437
260,408,21,0.1027440321094759,0.6887535375907469
261,407,21,0.09677197107964568,0.6909079694053787
262,405,21,0.1359958924488628,0.6868179563492064
263,402,21,0.09927727459107988,0.6858517685289338
264,400,20,0.09234379585980768,0.6629605263157894
265,399,20,0.08302516910433463,0.6540237467018469
266,395,18,0.10327144945641943,0.6522251694665487
267,394,18,0.09426391706223067,0.6513002364066194
268,393,18,0.12733254813831185,0.6585925925925926
269,392,18,0.1192015841652981,0.6264111705288176
270,390,18,0.08346332138762244,0.6404569892473119
271,387,18,0.09177945641624857,0.6477717554953327
272,386,17,0.07279374199539307,0.6549497847919656
273,382,17,0.07455192693592023,0.6409347300564061
274,380,17,0.08550602424279426,0.6409820126397666
275,378,17,0.07030779877927004,0.6237575362554995
276,376,17,0.0710180041892199,0.6146157627396363
277,375,16,0.07825317212094188,0.612116991643454
278,371,16,0.08839589216416707,0.6215669014084507
279,365,16,0.06400279801072131,0.5942872492836677
280,360,15,0.08797992040407798,0.6104347826086957
281,359,15,0.0741739434876065,0.6091085271317829
282,355,15,0.07824652313113273,0.6152941176470588
283,352,15,0.10568530404177531,0.6316518298714144
284,350,15,0.11999736272297651,0.6700497512437811
285,347,14,0.09229721561788355,0.662912912912913
286,341,14,0.11003309009618661,0.6602228047182176
287,335,14,0.11400750185201447,0.6443035157988429
288,335,14,0.14822750059812104,0.641188251001335
289,332,14,0.12347480286326731,0.661388140161725
290,330,14,0.15588158223543114,0.6578887884267631
291,329,14,0.15664581285538673,0.6334467120181405
292,329,14,0.1573712082949162,0.6465986394557823
293,327,14,0.12662955548130778,0.6253993610223642
294,324,14,0.12679122461227396,0.6233870967741935
295,323,14,0.11151093255802652,0.6304900601017106
296,321,14,0.11134527884652012,0.644253140995812
297,321,14,0.11577070675053196,0.6433224755700326
298,319,14,0.08686442771271113,0.6451990632318501
299,318,14,0.10724954743238224,0.6555451127819549
300,318,14,0.10144085029516411,0.6343984962406013
301,316,14,0.09369228187621677,0.6359981078524126
302,316,14,0.08564794011608862,0.6175496688741723
303,313,13,0.07062415288593318,0.5791025641025642
304,310,13,0.07526431494824302,0.6013986013986015
305,307,13,0.09960124780186429,0.597592883307169
306,306,13,0.08694091600868509,0.6044893672880021
307,305,13,0.11839414810452054,0.570995785036881
308,305,13,0.07452647994952988,0.5882507903055849
309,301,13,0.09750056630520079,0.6217948717948718
310,298,13,0.11039348542555363,0.6095816464237517
311,295,13,0.1162044871854141,0.6100654664484452
312,293,13,0.12455037782338567,0.5987637362637362
313,290,13,0.12635696161520676,0.6133018605942794
314,289,13,0.16857272814420265,0.6605351170568562
315,286,13,0.09014837747453584,0.6503240349394196
316,284,13,0.2004790066858123,0.6623616236162362
317,284,13,0.20018567928117256,0.669173999432302
318,283,13,0.14594716262402477,0.6881766381766382
319,282,13,0.18119577729281897,0.6727194738347154
320,281,13,0.22809608204503007,0.6819747416762342
321,281,13,0.23804592587621787,0.6656142365097589
322,280,13,0.1740246653718198,0.681215787957361
323,279,13,0.17655956119920418,0.676257952573742
324,278,13,0.17709074429707994,0.681567489114659
325,276,12,0.25540163680280636,0.6810290404040403
326,275,12,0.12035213557664305,0.6593789607097591
327,271,12,0.3213719066174825,0.7078507078507079
328,271,12,0.26995802477523384,0.6846846846846846
329,269,12,0.27516560037300886,0.690337224383917
330,267,12,0.2831982562309489,0.6936274509803921
331,266,12,0.1901954059732153,0.6893044619422573
332,266,12,0.22146976356483575,0.7130905511811023
333,262,12,0.21950423230240398,0.6861666666666666
334,261,12,0.20813331744615798,0.699966532797858
335,260,12,0.17236501257622247,0.697244623655914
336,258,12,0.2277881199673421,0.6956300813008129
